Player,3P,2P,PTS,Salary
Derrick Walton,0.4,0.3,2.2,1445697
Derrick White,0.9,2.6,10.2,1948080
Devin Booker,1.9,7.0,26.4,27250000
Devonte' Graham,3.5,2.3,18.1,1416852
Dewan Hernandez,0.0,0.3,1.0,898310
Dewayne Dedmon,0.5,1.7,5.6,13333334
Dewayne Dedmon,0.4,1.6,5.1,13333334
Dewayne Dedmon,1.3,2.7,10.3,13333334
Dillon Brooks,2.1,3.6,15.7,1618520
Dion Waiters,2.7,0.7,9.3,12100000
Domantas Sabonis,0.3,7.0,18.3,3529555
Donovan Mitchell,2.4,6.6,24.3,3635760
Donte DiVincenzo,1.3,2.2,9.2,2905800
Dorian Finney-Smith,1.6,1.7,9.4,4000000
Doug McDermott,1.9,2.0,10.4,7333334
Dragan Bender,0.6,0.9,3.7,1678854
Draymond Green,0.9,2.0,8.3,18539130
Duncan Robinson,3.5,0.6,12.6,1416852
Dwayne Bacon,0.5,1.7,5.7,1618520
Dwight Howard,0.1,3.1,7.8,3039097
Dwight Howard,0.1,3.1,7.8,2564753
Dwight Powell,0.3,3.4,9.4,10259375
Dāvis Bertāns,3.5,1.3,15.0,7000000
Džanan Musa,0.4,1.0,4.2,1911600
E'Twaun Moore,1.3,2.5,9.5,8664928
Ed Davis,0.0,0.6,1.3,4767000
Edmond Sumner,0.4,1.4,4.3,2000000
Elfrid Payton,0.4,3.9,9.7,8000000
Elie Okobo,0.5,0.9,4.2,1416852
Emmanuel Mudiay,0.6,2.3,7.3,1737145
Enes Kanter,0.0,3.9,9.2,4767000
Eric Bledsoe,1.2,4.5,15.7,15625000
Eric Gordon,2.9,2.1,15.3,14057730
Eric Mika,0.0,2.0,6.0,50752
Eric Paschall,0.6,4.5,13.2,898310
Ersan İlyasova,0.9,1.8,7.4,7000000
Evan Fournier,2.7,3.9,18.7,17000000
Evan Turner,0.0,1.3,3.3,18606557
Frank Jackson,0.8,1.3,5.9,1618520
Frank Kaminsky,1.2,2.8,11.0,4767000
Frank Ntilikina,0.7,1.4,5.8,4855800
Fred VanVleet,2.8,3.3,18.0,9000000
Furkan Korkmaz,1.9,1.5,9.6,1620564
Garrett Temple,2.0,1.5,10.2,4767000
Gary Clark,0.9,0.3,3.6,708426
Gary Clark,0.9,0.3,3.6,555409
Gary Clark,0.9,0.3,3.6,163356
Gary Clark,1.0,0.3,3.9,708426
Gary Clark,1.0,0.3,3.9,555409
Gary Clark,1.0,0.3,3.9,163356
Gary Clark,0.8,0.3,3.1,708426
Gary Clark,0.8,0.3,3.1,555409
Gary Clark,0.8,0.3,3.1,163356
Gary Harris,1.2,2.6,10.2,17839286
Gary Payton,0.5,1.4,4.5,1090781
Gary Trent,1.5,1.0,6.8,1416852
George Hill,1.5,2.0,9.7,9133907
George Hill,1.5,2.0,9.7,1000000
Georges Niang,1.3,0.8,5.9,1783557
Giannis Antetokounmpo,1.5,9.5,30.0,25842697
Glenn Robinson,1.4,3.7,12.7,1882867
Glenn Robinson,1.4,3.7,12.9,1882867
Glenn Robinson,0.0,4.0,8.0,1882867
Goga Bitadze,0.1,1.1,3.0,2816760
Goran Dragić,2.2,3.2,16.1,19217900
Gordon Hayward,1.6,5.1,17.3,32700690
Gorgui Dieng,1.0,1.7,7.4,16229213
Gorgui Dieng,1.0,1.7,7.4,16229213
Gorgui Dieng,1.0,2.0,7.0,16229213
Grant Williams,0.4,1.0,3.8,2379840
Grayson Allen,1.1,1.5,7.4,2429400
Hamidou Diallo,0.2,2.6,6.4,1416852
Harrison Barnes,1.3,3.7,14.5,24147727
Harry Giles,0.0,2.5,5.6,2578800
Hassan Whiteside,0.0,6.5,15.7,27093018
Ian Mahinmi,0.2,2.8,7.9,15450051
Ignas Brazdeikis,0.1,0.6,1.9,898310
Iman Shumpert,0.6,1.0,4.2,419443
Isaac Bonga,0.4,1.4,4.8,1416852
Isaiah Hartenstein,0.0,1.9,4.7,1416852
Isaiah Roby,0.0,0.0,0.0,1500000
Isaiah Thomas,2.0,2.4,12.2,2320044
Ish Smith,0.9,3.6,10.8,5853659
Ivica Zubac,0.0,3.2,8.0,6481482
J.J. Barea,1.4,2.1,9.0,2564753
J.J. Redick,3.0,1.8,15.7,13486300
J.P. Macura,0.0,0.0,0.0,81678
Ja Morant,0.8,5.9,17.6,8730240
JaKarr Sampson,0.1,1.8,4.2,1737145
JaMychal Green,1.3,0.9,6.4,4767000
JaVale McGee,0.1,3.1,7.1,4000000
Jabari Parker,1.0,5.2,15.0,6500000
Jacob Evans,0.5,1.1,4.6,1925880
Jacob Evans,0.5,1.2,4.7,1925880
Jacob Evans,0.0,0.0,0.0,1925880
Jae Crowder,1.9,1.5,10.4,7815533
Jae Crowder,1.7,1.5,9.9,7815533
Jae Crowder,4.0,1.7,18.0,7815533
Jahlil Okafor,0.0,3.2,7.9,1702486
Jake Layman,1.4,3.0,10.5,3581986
Jakob Pöltl,0.0,2.4,5.4,3754886
Jalen Brunson,0.8,2.5,8.4,1416582
Jalen Lecque,0.0,1.0,2.5,898310
Jalen McDaniels,0.8,1.2,5.4,898310
Jamal Murray,1.8,5.2,18.9,4444746
James Ennis,0.7,1.3,5.8,1882867
James Ennis,0.8,1.3,5.8,1882867
James Ennis,0.5,1.5,6.5,1882867
James Harden,4.6,5.5,35.3,37800000
James Johnson,1.0,1.3,6.2,15349400
James Johnson,0.9,1.3,5.7,15349400
James Johnson,1.7,1.7,9.3,15349400
Jared Dudley,0.4,0.1,1.6,2564753
Jaren Jackson,2.5,3.7,17.1,6927480
Jarred Vanderbilt,0.0,0.5,1.1,1416852
Jarred Vanderbilt,0.0,0.6,1.1,1416852
Jarred Vanderbilt,0.0,0.0,1.0,1416852
Jarrett Allen,0.0,4.3,11.1,2376840
Jarrett Culver,1.0,2.6,9.1,5813640
